"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20"
"Gene65",5456,22070,11893,17942,10627,13272,6386,6025,18263,6250,11183,2238,19444,19223,21781,21808,14666,7587,15677,12974
"Gene66",4951,19995,10731,16296,9720,12168,5962,5543,16569,5752,10176,2056,17234,17570,20054,19802,13250,6908,14062,11891
"Gene67",2838,11564,6329,9464,5678,7002,3426,3157,9568,3326,5840,1217,10319,10128,11373,11332,7736,3971,8099,6717
"Gene68",836,3580,1856,2963,1784,2143,1056,1009,2989,1016,1829,385,3140,3108,3436,3497,2417,1250,2531,2158
"Gene69",805,3344,1839,2710,1528,2012,992,893,2764,904,1709,334,2908,2820,3288,3176,2137,1085,2297,1949
"Gene70",2959,12183,6514,9762,5860,7118,3535,3290,10096,3380,6038,1262,10515,10643,11807,11656,7956,4241,8426,7029
"Gene71",1764,7162,3871,5922,3442,4208,2129,1981,5917,2031,3644,815,6267,6251,7066,7084,4836,2469,5010,4166
"Gene72",13855,55677,29851,46168,26699,33432,16568,15584,46433,15654,28196,5855,48607,48438,55235,54795,36883,19490,39022,32592
"Gene73",6467,26213,13927,21460,12358,15808,7746,7237,21555,7500,13184,2713,23086,22715,25729,25554,17337,8991,18202,15513
"Gene74",5699,23309,12441,19232,11158,14163,6759,6486,19385,6416,11827,2476,20630,20401,23078,22978,15283,8126,16247,13699
"Gene75",2750,11395,6027,9207,5553,6817,3254,3116,9391,3252,5775,1098,9958,9882,11145,11165,7493,3841,7874,6743
"Gene76",2396,9499,5222,8049,4665,5820,2820,2667,7936,2675,4855,1026,8495,8387,9599,9354,6436,3263,6728,5948
"Gene77",4260,17109,9503,14259,8229,10435,5145,4739,14309,4921,8755,1814,15089,15170,16903,17026,11419,6038,12014,10206
"Gene78",777,3310,1848,2655,1618,2020,1008,919,2722,940,1699,360,2863,2959,3247,3182,2232,1235,2380,1969
"Gene79",3928,16010,8412,13141,7574,9644,4710,4426,12935,4462,8041,1660,13661,13897,15809,15866,10483,5469,11133,9338
"Gene80",5710,23076,12234,18969,11139,13896,6694,6288,19080,6481,11719,2478,20040,19863,22651,22753,15036,8083,15968,13485
"Gene81",18022,74192,39484,60702,35540,44588,21855,20341,61263,20895,37466,7637,64451,64303,72585,72455,48445,25537,51489,43922
"Gene82",3286,13201,7173,11078,6416,7908,3957,3773,11139,3849,6712,1393,11667,11532,13128,13047,8652,4631,9299,7869
"Gene83",7067,29098,15425,23843,14090,17562,8705,7971,23969,8340,14991,3038,25543,25389,28720,28746,19047,10048,20212,17305
"Gene84",2987,12088,6533,10127,5716,7222,3542,3405,9924,3405,6189,1270,10676,10703,11984,11728,8113,4175,8450,7301
"Gene85",8186,32972,17374,27034,15872,19510,9594,9070,26931,9226,16536,3486,28643,28394,32177,32154,21527,11265,22799,19254
"Gene86",4389,18238,9813,14893,8771,10842,5487,5045,15153,5156,8967,1916,16032,16036,18211,17848,11773,6261,12612,10843
"Gene87",18367,73474,39498,60658,35304,44415,21679,20268,60864,20983,37176,7655,64904,64106,72424,72622,48094,25621,51475,43497
"Gene88",21322,86600,46291,70881,41647,52426,25331,24090,71688,24180,43668,9089,75734,75026,85787,85693,56847,30005,60888,50862
"Gene89",4814,19570,10335,15939,9352,11744,5790,5442,15929,5521,9942,2067,16946,16899,19135,19110,12839,6776,13755,11661
"Gene90",10642,42456,23027,34754,20597,25460,12373,11666,35167,12067,21685,4543,37349,36937,42095,41513,28121,14772,29854,24989
"Gene91",7352,29572,16061,24288,14221,17798,8764,8196,24425,8407,14982,3060,26121,25875,29300,28862,19403,10375,20664,17513
"Gene92",3135,12593,6741,10497,5977,7554,3658,3553,10372,3647,6455,1345,11015,10990,12626,12415,8329,4339,8810,7357
"Gene93",14380,57862,31170,47512,27835,34737,17158,15870,47621,16408,29345,6066,50326,50458,56868,57121,38469,19790,40472,33904
"Gene94",2761,11465,6045,9258,5441,6759,3434,3123,9349,3202,5733,1222,9950,9976,11439,11112,7589,4041,7998,6698
"Gene95",12006,48306,26081,40279,23474,29299,14423,13757,40356,13725,24815,5041,42466,42732,48153,47972,32301,16910,34254,28841
"Gene96",1206,4678,2663,3986,2280,2906,1376,1306,4071,1361,2403,548,4333,4214,4766,4797,3120,1661,3424,2842
"Gene97",3104,12237,6710,10271,5955,7397,3652,3477,10305,3597,6279,1287,10806,10793,12319,12301,8085,4231,8748,7449
"Gene98",24647,99719,53366,81593,48100,59710,29395,27596,82305,28145,50325,10559,87699,86514,98029,98073,65728,34719,69533,58652
"Gene99",5831,23836,12598,19356,11358,14289,6945,6505,19628,6741,11913,2546,20687,20520,23462,23486,15757,8192,16515,14251
"Gene100",3432,13479,7281,11180,6599,8230,4041,3720,11155,3787,6666,1414,11894,11778,13341,13453,9069,4678,9480,8020
"Gene101",2780,11686,6247,9459,5514,6957,3418,3205,9480,3316,5780,1207,10219,10160,11389,11169,7581,4027,8074,6805
"Gene102",1596,6289,3352,5270,3049,3876,1826,1785,5417,1790,3278,684,5638,5743,6286,6483,4197,2243,4434,3906
"Gene103",4466,17987,9718,14865,8691,10886,5408,5006,14790,5127,9077,1951,15728,15771,17947,17482,11976,6457,12383,10565
"Gene104",2273,9265,4990,7675,4531,5647,2748,2566,7561,2527,4645,966,8110,8001,9195,9087,6223,3308,6398,5558
"Gene105",8762,35750,19282,29069,17198,21296,10478,9843,29449,10386,18094,3690,31335,30988,35390,35165,23522,12266,25041,21015
"Gene106",6081,24614,13157,20081,11749,14834,7247,6774,20245,6948,12441,2589,21673,21484,24472,24015,16271,8402,17171,14383
"Gene107",1459,5720,3109,4813,2816,3510,1688,1646,4724,1614,2872,622,5062,5197,5849,5764,3855,1934,4101,3442
"Gene108",2075,8703,4706,7045,4194,5349,2451,2390,7151,2403,4409,893,7716,7600,8445,8483,5628,3053,6027,5248
"Gene109",11896,48378,26209,39839,23845,29386,14253,13458,40313,13665,24471,4996,43050,42604,48485,47955,32082,16808,33804,28892
"Gene110",9106,36553,19555,30049,17564,21964,10804,10108,30243,10329,18297,3897,32113,31723,36235,36319,23979,12763,25777,21697
"Gene111",2016,8120,4485,6684,4005,5064,2400,2276,6874,2292,4115,831,7219,7305,8055,8344,5588,2968,5732,4887
"Gene112",5408,21912,11642,17959,10486,13277,6410,6112,18010,6180,11176,2248,19211,18805,21586,21511,14611,7436,15134,12777
"Gene113",3153,12988,6868,10672,6024,7759,3779,3554,10643,3646,6511,1343,11263,11153,12784,12688,8550,4437,8708,7674
"Gene114",6838,28315,15313,23180,13575,17222,8171,7903,23168,7961,14245,2931,24353,24612,27632,27668,18698,9712,19553,16425
"Gene115",18707,76210,40672,62375,36659,45851,22629,20994,62742,21707,38606,8100,66467,65773,75332,74765,50235,26262,53109,44527
"Gene116",4274,17283,9215,14276,8302,10226,5024,4843,14421,4814,8660,1776,15312,15235,17250,16910,11342,5952,12042,10411
"Gene117",1350,5441,2891,4496,2531,3274,1613,1472,4468,1533,2801,557,4753,4745,5391,5322,3563,1911,3821,3224
"Gene118",9395,38338,20406,31181,18270,22999,11274,10457,31480,10825,19058,3920,33377,33063,37685,37633,25262,13046,26600,22249
"Gene119",5147,20776,10952,17230,10079,12432,5871,5694,17049,5850,10518,2157,18258,17949,20310,20418,13713,7277,14445,12208
"Gene120",5079,20391,11129,16831,9772,12316,5957,5785,17186,5731,10403,2149,17815,17950,20464,20244,13553,7104,14303,12024
"Gene121",4206,17434,9566,14319,8418,10564,5227,4840,14366,4943,8931,1814,15388,15154,17288,17054,11595,6156,11905,10292
"Gene122",18253,73818,39552,60594,35305,44445,21611,20297,60722,20927,37036,7519,64381,64137,73048,72056,48552,25837,51757,43275
"Gene123",4580,18772,9953,15509,9136,11187,5540,5171,15482,5365,9357,1966,16520,16442,18610,18343,12340,6497,13059,11193
"Gene124",10331,42691,22914,35032,20343,25748,12634,12015,35281,12160,21665,4492,37501,37189,42421,41929,28077,14846,29953,25310
"Gene125",14925,59455,32223,49399,28904,36273,17729,16481,49640,17045,30092,6293,52639,52214,59221,58703,39489,20734,42159,35082
"Gene126",5984,24139,12956,19874,11725,14509,7041,6540,19891,6756,12105,2587,21346,20892,23923,23881,16079,8273,17131,14262
"Gene127",3771,15190,8540,12759,7526,9190,4542,4203,12767,4420,7661,1597,13500,13712,15367,15147,10183,5211,10628,8951
"Gene128",2422,9868,5366,8105,4760,6000,2895,2813,8049,2797,4950,1016,8559,8515,9588,9534,6361,3357,6742,5739
"Gene129",5972,23922,12746,19668,11545,14301,7164,6663,19835,6755,12007,2490,21024,20966,23702,23726,15554,8231,16663,14107
"Gene130",4068,16939,9038,13981,8019,10089,4880,4555,13698,4763,8406,1785,14607,14586,16425,16155,11124,5780,11780,9814
"Gene131",4811,19862,10699,16361,9612,12198,5837,5435,16396,5625,10203,2084,17453,17587,19606,19725,13331,6978,13763,11806
"Gene132",3038,12318,6647,10030,6011,7347,3689,3312,10395,3400,6239,1284,10919,10859,12082,12163,8318,4397,8463,7378
"Gene133",2860,11730,6307,9674,5587,7108,3557,3303,9795,3284,5928,1282,10211,10376,11746,11399,7799,4242,8159,6954
"Gene134",2786,11215,5991,9194,5330,6697,3257,3089,9352,3283,5593,1209,9622,9483,10991,10944,7413,3706,7877,6553
"Gene135",5751,23695,12571,19305,11237,14126,6915,6690,19215,6698,11737,2491,20469,20516,23352,23008,15207,8092,16303,13789
"Gene136",19737,80785,43466,67073,38747,48322,23866,22285,66833,22853,40959,8398,70295,71007,80192,79357,53603,27909,56320,47464
"Gene137",5010,20757,11276,17056,10007,12611,6226,5677,17066,5882,10438,2268,18461,17803,20628,20382,13737,7144,14500,12277
"Gene138",3945,15978,8746,13146,7732,9529,4723,4470,13193,4412,8094,1691,13938,13948,15850,15535,10527,5620,11273,9294
"Gene139",8939,36579,19729,30189,17849,21787,10757,9970,30326,10447,18677,3769,32072,32087,36074,36292,24152,12662,25687,21717
"Gene140",10340,42506,22754,34970,20316,25581,12387,11543,35280,11704,21313,4419,37222,37023,42157,41663,28021,14681,29665,25118
"Gene141",4105,17273,9273,14412,8364,10549,5094,4821,14249,4835,8570,1757,15015,15051,17204,16777,11316,6070,11990,10199
"Gene142",7028,28678,15520,23567,13842,17392,8236,7968,23507,8047,14439,2999,24851,24733,28161,27769,18794,9802,20099,17154
"Gene143",4247,17298,9351,14379,8388,10431,4993,4665,14317,4912,8614,1790,15352,15151,17106,16808,11565,6080,12271,10288
"Gene144",18652,76137,40609,62358,36300,45769,22247,21024,62222,21551,38298,7986,66308,66001,74610,74423,49686,26266,52715,45012
"Gene145",4444,17899,9618,14690,8661,10636,5209,4940,14617,4985,9123,1891,15684,15618,17651,17419,11704,6272,12621,10558
"Gene146",5650,22936,12294,18698,10850,13780,6699,6273,18934,6614,11708,2386,19983,20052,22625,22289,15166,7965,15856,13403
"Gene147",8642,35153,19226,29088,16807,21356,10349,9693,29041,9969,17682,3721,30683,30729,34524,34613,23370,12089,24620,20630
"Gene148",3453,14066,7682,11869,6822,8359,4139,3817,11624,3945,7271,1477,12231,12225,14008,13764,9496,4946,9804,8407
"Gene149",2168,8415,4406,6767,3988,5062,2496,2380,7073,2424,4109,843,7402,7376,8134,8257,5526,2945,5829,4953
"Gene150",6618,27289,14427,22223,12984,16151,8022,7430,22164,7706,13607,2837,23643,23518,26714,26510,17661,9407,19038,15971
"Gene151",7588,31517,16880,25752,15245,18835,9148,8871,25844,8781,15830,3238,27400,27426,31009,30403,20568,10811,21643,18549
"Gene152",4510,18011,9712,14713,8561,10725,5253,4936,14801,4934,9005,1898,15686,15721,17559,17596,11879,6147,12504,10640
"Gene153",7497,30958,16618,25490,14805,18559,9249,8709,25316,8994,15587,3229,27137,27123,30420,30394,20757,10665,21495,18321
"Gene154",4324,17654,9511,14405,8604,10548,5289,4799,14640,4941,8812,1841,15420,15290,17419,17347,11676,6129,12398,10511
"Gene155",9175,37106,19854,30146,17862,22194,10797,9959,30422,10412,18626,3698,32358,31999,36377,36012,24233,12579,25792,21817
"Gene156",3177,13054,6938,10552,6333,7891,3786,3580,10703,3680,6563,1339,11307,11420,12662,12646,8517,4575,9016,7591
"Gene157",4928,19861,10724,16462,9670,11937,5970,5525,16472,5609,9901,2047,17620,17267,19810,19429,13088,7006,14088,11836
"Gene158",1096,4523,2437,3723,2159,2808,1338,1224,3790,1282,2198,478,4052,4002,4527,4464,2955,1560,3152,2640
"Gene159",4078,16568,9007,13719,8097,9958,4866,4556,13577,4666,8271,1659,14492,14432,16223,16301,10918,5686,11556,9711
"Gene160",9257,37298,20016,30999,17825,22284,10843,10247,30736,10617,18763,3922,32535,32248,36646,36306,24504,13188,26169,21931
"Gene161",3292,13788,7336,11253,6516,8282,3974,3837,11175,3880,7012,1447,11815,11825,13385,13558,8997,4715,9660,8082
"Gene162",3391,13518,7353,11248,6539,7965,4170,3817,11145,3832,6897,1424,11964,11945,13507,13222,9038,4650,9432,7913
"Gene163",5975,24523,13225,19878,11687,14867,7065,6757,19875,6965,12159,2604,21360,21350,23993,23942,16232,8379,17351,14472
"Gene164",4628,18912,10185,15457,9146,11463,5433,5120,15558,5360,9483,2006,16485,16705,18915,18591,12580,6439,13317,11302
"Gene165",825,3172,1690,2720,1581,1898,966,864,2695,904,1637,318,2739,2748,3034,3241,2166,1128,2271,1898
"Gene166",4648,19377,10216,15781,9182,11302,5724,5240,15561,5312,9508,1879,16576,16767,18878,18655,12517,6593,13301,11399
"Gene167",7583,31226,16635,25628,14798,18870,9185,8738,25460,8820,15611,3230,27052,27101,30616,30253,20413,10956,21938,18293
"Gene168",6081,25109,13513,20873,12053,15365,7390,7075,20779,7092,12638,2714,22121,21817,25013,24745,16632,8815,17473,14883
"Gene169",13258,54018,28811,44476,25947,32667,16263,14854,44284,15283,27377,5627,47015,47110,53230,53037,35482,18820,37709,31899
"Gene170",5091,20454,10935,16910,9944,12336,5896,5750,17224,5948,10634,2140,18008,17969,20543,20368,13595,7147,14428,12269
"Gene171",6026,24213,13079,19767,11477,14708,7123,6704,19908,6837,12198,2438,21352,21004,23792,23916,15663,8307,16843,14630
"Gene172",3920,15958,8563,13297,7648,9546,4756,4442,13291,4610,8261,1650,14040,13912,15773,15655,10675,5557,11267,9364
"Gene173",6475,26210,13974,21757,12378,15828,7746,7415,21569,7504,13202,2688,22952,22869,25970,25692,17423,8942,18554,15485
"Gene174",8431,34501,18554,28144,16691,20755,10282,9318,28373,9660,17494,3630,30006,29990,33834,33672,22722,11800,23935,20418
"Gene175",2244,9056,4835,7689,4365,5470,2684,2511,7627,2582,4661,979,7998,7917,9008,8954,6111,2962,6337,5413
"Gene176",328,1297,721,1060,654,824,376,369,1108,372,660,123,1162,1156,1341,1320,937,448,916,825
"Gene177",4231,17488,9249,14186,8237,10486,5109,4759,14411,4963,8687,1849,15167,14946,17068,17099,11147,6054,12065,10090
"Gene178",2153,9017,4827,7259,4288,5301,2634,2493,7427,2476,4552,915,7716,7828,8837,8682,5860,3047,6196,5168
"Gene179",3556,13944,7515,11492,6824,8712,4228,3887,11795,3963,7217,1408,12272,12270,13881,13760,9250,4798,10006,8166
"Gene180",763,3350,1774,2685,1533,1913,953,894,2638,912,1659,320,2831,2872,3219,3092,2109,1119,2267,1885
"Gene181",6687,27470,14830,22658,13244,16416,7999,7550,22868,7756,13857,2863,23938,24069,27006,27257,18164,9381,19189,16199
"Gene182",3922,15548,8435,12886,7473,9501,4615,4344,13080,4336,8063,1705,13910,13633,15654,15660,10240,5444,11085,9280
"Gene183",10515,43831,23257,35598,20729,26033,12699,11786,35607,12068,21840,4538,37450,37936,42653,42442,28393,15023,29998,25350
"Gene184",6100,25359,13555,20558,12206,15333,7311,7091,20829,6932,12669,2660,21961,22061,24869,24499,16731,8549,17389,14748
"Gene185",6496,26955,14292,22019,12838,16100,7967,7380,22388,7690,13518,2893,23769,23527,26548,26356,17767,9309,18562,15898
"Gene186",8631,35138,18753,29244,16798,21095,10362,9520,28737,9819,17888,3681,30522,30611,34767,34260,23003,12114,24291,20537
"Gene187",8501,34546,18660,28510,16533,21016,10051,9437,28697,9840,17305,3674,30465,29995,34102,34222,22750,11909,24189,20392
"Gene188",5526,22148,12005,18300,10785,13657,6585,6160,18615,6325,11279,2383,19610,19503,21955,21931,14759,7675,15507,12955
"Gene189",8622,34848,18743,28672,16922,20735,9980,9810,28984,9834,17654,3618,30550,30540,34392,34070,23117,12275,24257,20679
"Gene190",1933,7894,4304,6598,3755,4696,2337,2266,6570,2233,3988,844,6960,6745,7863,7810,5171,2708,5497,4798
"Gene191",15560,63138,34278,52040,30335,37723,18466,17249,52096,17930,31824,6572,55641,55178,62564,62053,41655,21905,44202,37389
"Gene192",4234,17485,9249,14203,8188,10354,5016,4764,14229,4963,8777,1728,15232,15217,17296,16848,11638,5992,12302,10227
"Gene193",2219,8678,4792,7355,4116,5440,2519,2352,7402,2549,4582,941,7808,7733,8870,8658,5789,2975,6157,5267
"Gene194",3052,12239,6419,9851,5895,7351,3603,3415,10002,3494,6205,1291,10775,10881,12054,11937,7970,4324,8526,7251
"Gene195",5601,22740,12058,18285,10934,13660,6878,6099,18438,6324,11389,2335,19652,19543,21956,21963,14913,7717,15833,13272
"Gene196",5760,23810,12639,19628,11593,14421,7097,6611,19579,6850,12069,2437,20840,20776,23587,23160,15740,8198,16502,13984
"Gene197",4580,19043,10284,15616,9189,11747,5585,5287,15656,5425,9746,2035,16681,16690,18962,18669,12469,6429,13253,11222
"Gene198",3499,13969,7550,11213,6761,8600,4015,3854,11541,3989,7114,1430,12415,12256,13950,13532,9071,4806,9779,8292
"Gene199",4256,17299,9300,14337,8379,10491,5135,4664,14350,4841,8672,1851,15114,15176,17385,16906,11360,6057,11970,10266
"Gene200",3549,14507,7686,11801,6932,8547,4179,3973,11979,4028,7349,1533,12659,12664,14372,14056,9442,4831,10095,8479
"Gene201",4217,17322,9176,14106,8368,10427,5132,4724,14071,4844,8661,1860,15261,15256,16954,16910,11430,6065,12116,10301
"Gene202",4577,18565,9939,15232,9038,11187,5321,5086,14989,5191,9254,1963,16033,15991,18240,17958,12210,6420,12695,10854
"Gene203",3255,13025,7172,10795,6151,7890,3769,3600,10726,3652,6645,1389,11260,11681,12804,12894,8532,4481,9096,7804
"Gene204",6788,28292,14915,22958,13203,16733,8293,7526,23190,7897,14400,2954,24621,24341,27585,27359,18422,9553,19260,16370
"Gene205",2607,10596,5720,8767,5167,6323,3082,2903,8779,3024,5353,1191,9449,9263,10574,10385,6931,3657,7304,6471
"Gene206",7967,32093,16891,25889,15297,18907,9526,8808,25943,9079,16103,3276,27678,27709,31445,31267,21098,11141,22179,18825
"Gene207",7636,31346,16829,25802,15031,18828,9268,8596,26044,8894,15928,3291,27389,27256,30785,30989,20669,10875,21838,18429
"Gene208",4729,18990,10096,15832,9335,11624,5642,5250,15571,5443,9685,2035,16790,16799,19026,18864,12804,6529,13352,11124
"Gene209",1510,6257,3422,5125,2873,3703,1937,1665,5120,1810,3075,665,5404,5488,6167,6150,4083,2090,4375,3612
"Gene210",17491,70603,37975,57873,34135,42232,20879,19145,58168,19904,35560,7304,61806,61229,70028,69077,46766,23914,49236,41662
