"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10"
"Gene14",2188.26713896163,2361.6898277506,2347.99950653815,2336.83222286942,2239.59093202274,2239.3289341531,2295.64826521832,2321.57836248038,2299.98784572866,2321.51034931634
"Gene15",10566.6456463011,10618.0851203725,10466.6866220454,10522.4018199951,10515.0922018301,10419.8799186149,10553.5154051727,10553.0989706514,10392.0463872078,10519.2384768732
"Gene16",11526.5474716002,11477.1843019706,11366.6939857676,11440.4637237531,11603.7135121373,11425.2444807161,11536.440859576,11363.1522968323,11512.6272257862,11582.2813146225
"Gene17",4194.98342967755,4359.74986340095,4189.68945180995,4355.29493308633,4465.32668373248,4352.88842269321,4356.88174279111,4363.94685508562,4361.21065431297,4223.53152811035
"Gene18",10983.8263188657,10826.5535090373,10855.9508906898,10779.991698414,10938.6648571133,10851.767448833,10825.1132280999,10928.8258325821,10790.5648429246,10743.3029735779
"Gene19",2846.871811853,2863.82259040213,2810.86043645239,2864.74676021322,2792.80848880609,2781.95685673488,2711.12826814868,2866.20996050845,2760.7928328744,2697.1974377761
"Gene20",27912.4772217772,28053.2769321742,27821.3113735426,27823.1799911918,27812.2951668737,28149.4167360319,27850.0934259972,27533.1955015769,27902.059171603,28014.800869943
"Gene21",1574.08448213039,1606.34888525963,1597.84558564265,1584.90131935013,1680.43544081954,1614.43672010119,1687.78647104784,1642.51238266058,1609.06872858149,1632.4699045628
"Gene22",10485.5271821913,10327.7524329626,10445.4056597505,10576.2352103164,10353.7783167574,10546.4403670305,10694.16427776,10551.3754529361,10518.9263586372,10411.4179671807
"Gene23",6362.00525661043,6428.25127239009,6565.17686797902,6361.02286279714,6485.21404222051,6449.83685237879,6502.18121317472,6397.69775911446,6423.58691718301,6604.00621866477
"Gene24",4307.00416582916,4291.21231096321,4256.19245898153,4337.92932330528,4244.63345446113,4375.82750396854,4373.04827987012,4291.55911104391,4302.96121288404,4309.45099677155
"Gene25",26830.8977003133,26924.3111378524,27012.6348063361,26873.2811361686,26942.3877743646,26822.9050360761,26671.552872938,26748.9949411251,26899.1306701681,27140.4439241555
"Gene26",8834.18701995632,9067.89895169377,8938.89087062351,9062.53289106852,9207.75697372496,9220.7196698773,9237.5592869419,9115.68519610894,9078.83868291389,9127.68002365453
"Gene27",25059.8112339163,25250.3766106056,25134.5898838105,25085.2021823803,25133.2970877815,25141.2330777542,25349.1301398756,25171.9762316451,25321.781934444,25371.5136870131
"Gene28",7122.97370564034,6908.0141394543,6980.15563272971,6893.56822941588,7051.29712358022,7077.89307764108,7084.1765480188,6985.41730002449,7078.74895147282,6888.7197520715
"Gene29",12252.7508645831,12194.9247816658,12362.4656798168,12272.8552859246,12040.1516919968,12131.6099834355,12223.5186854336,12205.9524596036,12243.3405157908,12453.2688694821
"Gene30",19132.369177894,19131.9721898611,18902.8147584517,18954.5630760117,19328.9661923713,19120.9107471857,18898.6818453537,19151.7288521767,19178.4844086913,19168.4649887673
"Gene31",3488.09395672084,3487.3239354955,3498.05817722545,3616.67766373251,3508.32958639886,3560.30361449067,3462.87224232229,3509.08206830739,3516.88211716484,3601.87890191461
"Gene32",12890.1102254457,12816.9982610834,12756.1634822726,12865.0225794582,12818.021100998,12889.3906683238,12740.8478719617,13134.9285081388,12907.1534572235,12790.2079622712
"Gene33",8536.75265155377,8363.00926308058,8390.90609152964,8359.80454859553,8458.58758108633,8349.82558421762,8500.3651961394,8341.82574194881,8465.20100291006,8433.58549250915
"Gene34",3882.09792525409,3943.76499652186,3862.49465652574,3852.84995675473,3880.44014337657,3906.76284202831,3941.40173986076,4005.45517030765,3915.97730002448,3775.40253470096
"Gene35",1574.08448213039,1642.52148237955,1667.89541986339,1680.99102680525,1602.25263762475,1616.01872570638,1598.87051711333,1645.95941809114,1657.51380858179,1666.1638138417
"Gene36",17465.5778796382,17790.7303650725,17867.1412600996,17831.5869768374,18116.6379149838,17829.9941733469,17741.1577904971,17876.3257428705,17817.9850786828,17819.0239221473
"Gene37",13697.4320825383,13567.5796513218,13643.7569513227,13594.9570439215,13405.8766085639,13695.4225241705,13683.3569836675,13512.3788877849,13843.7583372294,13885.2600138355
"Gene38",6792.70567319335,6739.05003448625,6707.93665670735,6596.61630216,6732.62797638122,6760.70095379954,6476.31475384831,6656.22541640626,6553.92725146954,6546.72657289064
"Gene39",3547.96710880187,3519.21293558806,3475.00380140596,3499.74922454013,3592.4503240135,3546.06556404392,3498.43862389609,3388.43582823789,3554.94610859365,3514.27473778947
"Gene40",11999.7385122406,12163.9876920238,12168.2768988757,12230.0201151313,12122.2931181381,12179.861154394,11984.2539366644,11985.3421920479,12107.2329100757,12045.5725672074
"Gene41",15337.1838927576,15431.4203134482,15254.0164316374,15136.444338819,15490.0915899337,15385.0045105184,15159.3618189804,15659.8819610221,15412.4561658106,15359.3685447874
"Gene42",16233.3497819705,15966.8699418681,16221.4135092934,16131.493779273,15863.191802648,16241.6605457314,16291.0194145106,16233.8133602099,16050.3163858146,16215.1938404715
"Gene43",12863.0707374091,12945.0302166789,12841.2873314522,13055.4654333904,12989.2315434372,13066.5752961056,12761.8643701644,12895.3595457151,12927.3389072237,12813.7936987664
"Gene44",35269.1493597338,35218.7828484953,35077.2328093438,35124.2611968029,34963.5475198548,35279.5159986444,35005.4027371636,35113.2264133726,34871.2299659323,35486.4252525395
"Gene45",12051.8860963112,11749.4306908205,11963.4476367873,11746.6773095589,11845.1895118781,12001.8855238096,11717.5060748609,11895.7192708535,11851.1660586455,11651.3538286443
"Gene46",11798.8737439688,11623.7785113513,11881.8706146568,11722.3654558654,11766.0170529467,11604.0111141031,11762.7723786821,11687.1736273047,11657.9624657872,11528.3710597763
"Gene47",25094.5762899634,25322.2458496202,25184.2454624986,25295.9049143903,25212.4695467129,25138.0690665438,25357.2134084151,25202.9995505201,25331.5862958726,25154.1879721642
"Gene48",3770.07718910248,3627.73072694782,3632.8376050932,3653.72429793207,3650.84001247543,3665.50698723612,3616.45434457281,3534.93483403657,3702.588257166,3687.79837057581
"Gene49",26272.7254115579,26189.912225273,26057.6516233522,26013.1045983475,26097.2217752716,26174.2827379463,25960.2252414619,26038.9056424303,25974.0603330195,25865.1294579491
"Gene50",538.858368729299,534.973673194614,531.137350610404,512.285488540856,558.16583546656,526.016863727237,533.495723607075,554.972704319735,523.091518574698,518.886202895089
"Gene51",22382.9019182934,22554.0902594957,22472.6961834225,22491.9377884107,22464.1955660558,22510.3577563154,22482.8031157685,22114.4558047407,22427.7651315688,22207.6556057242
"Gene52",10454.6249101494,10433.4144929708,10375.3558255298,10527.6115029294,10620.9853656509,10293.3194701993,10275.4509674138,10758.1975787695,10548.3394429231,10620.3202047099
"Gene53",15057.1320523785,15112.5303125226,14967.6101474184,14840.6501188819,15029.9016723948,14976.0560615756,14703.4654733526,14917.045825737,14994.3289872366,14751.1934823033
"Gene54",7231.13165778672,7356.36396165121,7333.06492412027,7411.06340089105,7219.5385988095,7381.63815383846,7253.92518734832,7288.75641791354,7360.19179718886,7309.89361805777
"Gene55",15883.7678294973,15949.7355537586,15731.9513765105,15797.4952178175,15837.4607534953,15922.8864162846,15785.0068039378,16040.7793760987,15840.9644329562,15672.7219010812
"Gene56",9595.15546898623,9601.92071443786,9386.67778557886,9553.97964787212,9554.13648154995,9567.17889741494,9568.97329706145,9796.47469364402,9378.73679720148,9590.97127623943
"Gene57",6095.4731602497,6116.50059984341,6232.66183212108,6147.42586249027,6256.60356705602,6151.62879579959,6093.16782507596,6090.91160579486,6155.98552289562,5968.87602875747
"Gene58",2860.3915558713,3031.35882969439,3024.55676616375,3015.82756530832,3156.01214415401,3025.58571993486,2961.70959287322,3131.63168866136,3048.57967716191,3066.14574438007
"Gene59",22305.6462381888,22003.4100638675,21869.7355850668,22079.7939829406,22071.3022386086,21930.5527020115,21886.2578975533,21740.4524605253,22291.6575258536,22108.2585733515
"Gene60",17338.1060074657,17819.2876785882,17535.5129310039,17733.1818547448,17679.2100793876,17914.6314732248,17585.9590345387,17576.433660412,17666.3058401104,17618.5451619378
"Gene61",9438.71271677449,9574.79126659791,9555.15207041354,9640.22884311799,9522.46749797738,9607.5200403474,9423.47446335043,9677.55197128979,9513.6909486309,9439.34868448437
"Gene62",5164.54221498977,5158.87868661604,5158.85994299053,5177.26712938917,5299.60646972239,5216.66348312952,5000.3099185354,5213.64108871801,5189.39083146101,5123.15890585704
"Gene63",11072.6703509859,11094.5163008598,11171.6184980642,11040.4758451297,11012.8890373615,11013.9230233655,11138.7440474326,11035.6839309294,11246.7560129274,11083.6114572948
"Gene64",5809.62714386284,5810.93734522513,5621.72087290478,5686.07949597382,5821.15504293317,5654.87903576845,5816.72004102502,5420.46321455145,5746.50925146449,5682.47779988681
"Gene65",10537.6747662618,10504.3318215348,10545.603523889,10385.7923563842,10517.0715133034,10498.189196072,10323.9505786509,10384.194234554,10532.7678100658,10529.3466496568
"Gene66",9562.32180494179,9516.72472911594,9515.25026611059,9432.99923306417,9619.45376016838,9624.92210200455,9638.48940650116,9553.45869578972,9555.79203005973,9690.36830861219
"Gene67",5481.29050341846,5503.94622493107,5611.96709851961,5478.27103226064,5619.26527265803,5538.60162378664,5538.65560326618,5441.14542713479,5518.12530289164,5603.29711308139
"Gene68",1614.64371418528,1703.91970643836,1645.72775080619,1715.14339270797,1765.54583417082,1695.11900596612,1707.18631554264,1739.02937471619,1723.83743001078,1711.65059136822
"Gene69",1554.77056210425,1591.5942732765,1630.6537358473,1568.69341688782,1512.19396559026,1591.49763882587,1603.72047823703,1539.10131974386,1594.07382286711,1522.96469940637
"Gene70",5714.98893573475,5798.56250936832,5776.00784954286,5650.76942275236,5799.38261672703,5630.35794888793,5714.87085742731,5670.37328326686,5822.63723432211,5694.27066813442
"Gene71",3406.97549261105,3408.79132332725,3432.44187681615,3427.97137077847,3406.39504552465,3328.53979332965,3441.85574411959,3414.28859396707,3412.49450430704,3421.61648727249
"Gene72",26759.4361962166,26499.7590769186,26469.0835610537,26724.515745711,26422.8185126271,26444.8056964346,26784.718632491,26859.300074903,26779.1714244531,26372.2227925965
"Gene73",12490.3120809046,12476.2143197958,12349.1650783825,12422.1995300415,12230.1655934322,12504.1723034589,12522.5996213952,12473.0977054718,12431.3535643634,12635.2159795882
"Gene74",11007.003022897,11094.0403456346,11031.5188296228,11132.5135769692,11042.5787094608,11202.9726931863,10926.9624116976,11178.7359012975,11179.8556643556,10809.0060966717
"Gene75",5311.32800718843,5423.50979186177,5344.18165630869,5329.50564180301,5495.55830557768,5392.26610530613,5260.59116550734,5370.48120080837,5416.04459860528,5478.62964874945
"Gene76",4627.61523826308,4521.09868476481,4630.38271266699,4659.19310425463,4616.74401143884,4603.63631111657,4558.96345627864,4596.62174664824,4576.90660574289,4506.56036605313
"Gene77",8227.72993113553,8143.11794900948,8426.37436202115,8253.87432893115,8143.87705683391,8254.11424510334,8317.68332714667,8167.75045270567,8252.38868719444,8290.38637807382
"Gene78",1500.69158603106,1575.41179561759,1638.63409670789,1536.85646562257,1601.26298188811,1597.82566124665,1629.58693756343,1583.91278034111,1569.85128286696,1583.61373610839
"Gene79",7586.50778626769,7620.04315644642,7458.97728436514,7606.7159377575,7495.65254933285,7628.43102824884,7614.43896421007,7628.28940782344,7459.96559290377,7517.11116012302
"Gene80",11028.2483349258,10983.1427781485,10847.9705298292,10980.2750645554,11023.7752504646,10991.7749448928,10821.8799206841,10837.4793936723,11003.9538857831,10918.5113018282
"Gene81",34807.5466711091,35312.0700726466,35010.7298021723,35137.5748309684,35172.3648802864,35269.2329622106,35331.9667861595,35058.0738464836,35332.034953078,35201.7117191328
"Gene82",6346.55412058952,6283.08492868515,6360.34760589053,6412.54083848091,6349.63120630044,6255.25016293984,6397.0987221612,6502.83233974646,6424.16364432587,6484.39284072467
"Gene83",13649.147282473,13849.3451446769,13677.4518082896,13801.607800316,13944.2493292976,13891.5912192146,14072.9705272715,13738.1597084864,13823.5728872293,14050.3601693021
"Gene84",5769.06791180794,5753.34676296841,5792.85527802632,5862.05100842175,5656.87219065046,5712.62224035806,5726.18743338261,5868.57782052391,5723.44016575006,5736.38805473305
"Gene85",15810.374933398,15693.1956873424,15405.6432879886,15648.7298273599,15707.8158519951,15432.4646786743,15510.1756735948,15632.3056775776,15531.8386843828,15543.0003503575
"Gene86",8476.87949947274,8680.47139833041,8701.25345833037,8620.86754897059,8680.27046609433,8576.05238576046,8870.57889524855,8695.14687358094,8739.14639576891,8686.28981210091
"Gene87",35473.8769120109,34970.3342209084,35023.1436968443,35112.1052699562,34938.8061264387,35132.3894773613,35047.435733569,34932.2570532683,35101.9208230766,35349.9649199599
"Gene88",41181.1402797352,41217.7225076989,41046.5427330654,41029.7262296773,41216.1924639642,41469.1129289686,40951.4550748207,41519.5417610634,41344.4154174013,40735.9363181924
"Gene89",9297.72110058367,9314.44375837954,9164.11438824461,9226.34847666972,9255.26044908381,9289.53691370327,9360.42496874232,9379.38340654658,9186.68665862885,9301.20365644087
"Gene90",20553.8736918179,20207.1550437282,20418.1966152016,20117.4800776824,20383.9392076325,20138.9313541285,20002.8563278495,20106.5576664411,20281.7634329839,20329.2201634255
"Gene91",14199.5940032179,14074.9479214512,14241.3973091047,14059.1976787348,14073.8942307978,14078.2678806276,14168.3530960376,14125.9511944241,14086.5604643738,14163.2347653864
"Gene92",6054.91392819481,5993.70415172578,5977.29028458219,6076.22686238798,5915.17233791424,5975.23517082038,5913.71926349903,6123.65844238515,5981.81392575168,6144.08435700776
"Gene93",27773.416997589,27539.7212441164,27638.6497805113,27502.4950639019,27547.0674294534,27477.0643538241,27738.5443201521,27352.2261414727,27464.3232701717,27642.4831724111
"Gene94",5332.57331921718,5456.82665763012,5360.14237802987,5359.02717843079,5384.71686307368,5346.38794275548,5551.58883292938,5382.54582481532,5391.82205860513,5394.3948755522
"Gene95",23188.2923833834,22991.4931115116,23126.1990672286,23315.6465456917,23231.178761954,23175.5911132997,23316.996429045,23710.4332090888,23274.4005772883,23122.4452426464
"Gene96",2329.25875515245,2226.51854377616,2361.30010797246,2307.31068624164,2256.41507954567,2298.6541443479,2224.51550207071,2250.91413615396,2347.8561985861,2292.87052642927
"Gene97",5995.04077611378,5824.26409153247,5949.80237495127,5945.40593537077,5893.3999117081,5851.04773081259,5904.01934125163,5992.67109602397,5943.17320718001,6059.84958381051
"Gene98",47603.0186884266,47461.7791079126,47319.9930762518,47230.4066288295,47602.4409325205,47230.7773430877,47521.5357437272,47562.1948708305,47467.5274931539,47415.7538327347
"Gene99",11261.9467672421,11344.8687493477,11170.731791302,11204.2914307309,11240.5098567893,11302.6390463135,11227.6600013671,11211.4827378878,11320.0003600708,11356.5321224539
"Gene100",6628.53735297116,6415.40048130801,6456.11193621761,6471.58391173646,6530.73820610608,6509.95306537618,6532.89763362482,6411.48590083669,6433.39127861164,6379.94172196008
"Gene101",5369.26976726685,5562.01276241305,5539.25714401201,5475.37676396379,5456.96173184861,5503.00649766976,5525.72237360298,5523.87427746817,5467.37331431989,5586.45015844194
"Gene102",3082.5016361719,2993.28241167343,2972.24106718877,3050.55878487041,3017.46034102401,3065.92686286733,2952.00967062582,3076.47912177244,3124.13093287667,3015.60488046172
"Gene103",8625.59668367401,8561.00663678962,8617.01631591303,8604.65964650828,8601.0980071629,8610.85650907474,8742.86325232443,8627.92968268507,8529.79444291046,8637.43364364651
"Gene104",4390.05402194156,4409.72516205347,4424.66674381622,4442.70183565093,4484.1301427287,4466.79282626723,4442.56438930983,4422.54645740509,4360.63392717011,4257.22543738926
"Gene105",16922.8567269036,17015.3993031205,17097.4797904337,16826.6970241742,17020.0993587835,16845.1956841132,16939.2975513786,16964.5848714881,16984.0376301062,17497.2470885338
"Gene106",11744.7947678956,11715.1619146016,11666.4008714208,11623.9603337728,11627.4652498167,11733.7355737291,11715.889421153,11675.1090032978,11675.8410072158,11705.2640834905
"Gene107",2817.90093181379,2722.46388849928,2756.77132395283,2786.02266253914,2786.87055438623,2776.4198371167,2728.91145893558,2836.91015934871,2724.45902287417,2719.09847880738
"Gene108",4007.638405424,4142.23832545616,4172.84202332648,4078.02403024896,4150.61615948006,4231.07399109322,3962.41823806346,4119.20733951605,4124.17579859721,4048.32319986006
"Gene109",22975.8392630958,23025.7618877305,23239.6975328015,23060.9509355697,23598.3410402485,23244.4083571257,23042.165298702,23195.1014122205,23249.6013101453,23021.3635148097
"Gene110",17587.2555758029,17397.591349006,17339.5507365383,17393.973610355,17382.3133583948,17373.5855562482,17466.3266601541,17421.3170660369,17441.9589815376,17401.2194470889
"Gene111",3893.68627726977,3864.75642912835,3976.87982886087,3869.05785921704,3963.57122525456,4005.63819235298,3879.96889896055,3922.72631997428,3964.42238002478,3861.32200336216
"Gene112",10444.9679501364,10429.1308959434,10323.0401265548,10395.6328685935,10377.5300544368,10502.144210085,10362.7502676405,10534.1402757833,10386.8558429221,10411.4179671807
"Gene113",6089.67898424186,6181.70646570432,6089.90204339274,6177.52625277742,5961.68615753645,6137.39074535283,6109.33436215496,6125.38196010043,6138.10698146694,6142.39966154382
"Gene114",13206.8585138744,13476.6722032967,13578.1406509134,13417.8278241549,13434.5766249265,13622.6502663315,13209.6774472528,13620.9605038474,13361.6144457978,13411.8605884669
"Gene115",36130.5501928996,36272.5477172256,36064.1374357702,36105.9970030914,36279.7896495898,36268.2695018911,36583.2567560743,36183.5309145606,36185.014397369,36569.6844358562
"Gene116",8254.76941917213,8225.93415820509,8171.00281448226,8263.71484114041,8216.12192560884,8088.79465936049,8122.06822849075,8346.99629509465,8316.98212719484,8110.12396343169
"Gene117",2607.37920352887,2589.67238065115,2563.46924977409,2602.52605251942,2504.81866944302,2589.74317570372,2607.66243084307,2537.01807689022,2576.81687430182,2582.63814622783
"Gene118",18145.4278645583,18247.1714260989,18094.1381912452,18049.2359527598,18081.0103084646,18192.2734569364,18226.1539028672,18022.8247486692,18155.3704572563,18236.8283972057
"Gene119",9940.87463745413,9888.44576004565,9711.2124605762,9973.64855091407,9974.74016962316,9833.74684189025,9491.37391908224,9813.70987079681,9832.62105863289,9855.46846407881
"Gene120",9809.53998127638,9705.20299831973,9868.15955750114,9742.68594082616,9670.91585847381,9741.99051678895,9630.40613796166,9970.54998288717,9911.63267720481,9654.98970386934
"Gene121",8123.43476299438,8297.80339721967,8482.23688804528,8288.60554849324,8330.92199105941,8356.1536066384,8450.24893119449,8341.82574194881,8285.2621343375,8327.44967828061
"Gene122",35253.6982237129,35134.0628183986,35071.0258620078,35075.0586357566,34939.7957821754,35156.1195614392,34937.5032814318,34982.2390670114,35020.0255687903,35255.621973979
"Gene123",8845.775371972,8934.63148862037,8825.39240505067,8977.4414031414,9041.49480996896,8848.94835265655,8956.26154176726,8912.31010570606,8928.8896257701,9038.39116406544
"Gene124",19953.210779005,20319.0045216648,20317.9987510631,20278.4013949867,20132.5666505252,20366.7401612765,20424.8029456115,20708.0653490733,20347.51032727,20485.8968415724
"Gene125",28826.0256390136,28297.9179179589,28572.3520012004,28594.7919191297,28605.0094119246,28692.0446586136,28661.6535873631,28405.2954655079,28628.7353716075,28715.6341829442
"Gene126",11557.449743642,11489.0831826021,11488.172812201,11504.1376262836,11603.7135121373,11476.6596628849,11382.8587573255,11271.8058579226,11471.6795986431,11381.8025544131
"Gene127",7283.2792418573,7229.75987173149,7572.47574993798,7385.59383987885,7448.14907397399,7269.31575586964,7342.84114128284,7243.94495731629,7363.07543290317,7446.35395063732
"Gene128",4677.83143033105,4696.72616288653,4758.06848643644,4691.60890917925,4710.76130641991,4746.0168155841,4680.21248437116,4848.25533307893,4642.07677288616,4712.09321265443
"Gene129",11534.2730396107,11385.8008987203,11301.9643921205,11384.8937724537,11425.5754795416,11312.1310799447,11581.7071633972,11483.7985369018,11439.3828786429,11380.1178589491
"Gene130",7856.90266663365,8062.20556071492,8014.05571755731,8092.95301162679,7936.04935213891,7980.42727540466,7889.27009455311,7850.62319309439,7900.00840290652,8024.20449477049
"Gene131",9291.92692457583,9453.42268415608,9486.87564971738,9470.6247209231,9512.57094061095,9648.65218608247,9436.40769301363,9367.31878253963,9456.01823434482,9476.41198469116
"Gene132",5867.56890394126,5862.8164647787,5893.93984892714,5805.90220346304,5948.8206329601,5811.49759068272,5963.83552844394,5708.29067300299,5995.07865003747,5727.96457741333
"Gene133",5523.78112747597,5582.95479232458,5592.45954974928,5599.83030072796,5529.20660062353,5622.44792086196,5750.43723900111,5692.77901356548,5649.04236432103,5532.53990359569
"Gene134",5380.85811928253,5337.83785131459,5312.26021286633,5321.98054423122,5274.86507630632,5297.34576899445,5265.44112663104,5323.94622249584,5393.55224003371,5530.85520813175
"Gene135",11107.435407033,11277.7590625858,11146.7907087202,11174.7698941031,11120.7615126556,11173.7055894902,11179.1603901301,11530.3335152144,11081.8120500693,11284.0902175043
"Gene136",38119.883955592,38450.0428727997,38541.5961296024,38825.4514948032,38346.1908277,38222.8374271091,38583.0573927468,38408.5922849854,38544.4051388124,38500.3454375373
"Gene137",9676.27393309601,9879.40261076567,9998.50545155745,9872.928014184,9903.48495658487,9975.33634355517,10065.2859853868,9784.41006963707,9842.42542006152,9909.37871892505
"Gene138",7619.34145031213,7604.81258923803,7755.13734296927,7609.61020605434,7652.01815572242,7537.46570595014,7635.45546241278,7704.1241872957,7608.76119576185,7432.87638692576
"Gene139",17264.7131113663,17409.9661848628,17493.8377131764,17475.0131226666,17664.365243338,17233.5780601884,17390.3439358828,17183.4716213284,17489.827334395,17600.0135118344
"Gene140",19970.5933070285,20230.9528049913,20176.125669097,20242.5124681059,20105.8459456359,20234.6426932428,20025.4894797601,19894.5649874618,20346.9336001272,19717.6757100134
"Gene141",7928.36417073037,8221.17460595247,8222.43180669495,8342.43893881448,8277.48058128069,8344.28856459944,8235.23398804376,8309.07890535852,8217.7850586228,8145.50256817454
"Gene142",13573.822994371,13649.4439500669,13761.688950707,13641.8441903303,13698.8147066102,13757.1207427731,13314.7599382663,13732.9891553405,13557.1249472276,13556.7443983662
"Gene143",8202.62183510155,8233.07348658402,8291.5949341534,8323.33676805533,8301.23231896012,8250.95023389295,8071.95196354584,8040.21014177504,8257.00250433733,8275.22411889831
"Gene144",36024.3236327559,36237.8029857815,36008.2749097461,36096.1564908822,35924.503240135,36203.4072720781,35965.6950396564,36235.236446019,35885.1162830815,36306.8719434807
"Gene145",8583.1060596165,8519.12257696655,8528.34563968425,8503.36025611884,8571.40833506361,8413.10580842541,8421.14916445229,8514.17751347668,8430.02064719555,8398.2068877663
"Gene146",10912.364814769,10916.5090466118,10901.1729355665,10823.4057228666,10737.7647425748,10900.0186197915,10829.9631892236,10811.6266279432,10919.7517229254,11142.5757985329
"Gene147",16691.08968659,16731.254033639,17047.8242117456,16837.6952437022,16633.1439657562,16892.655852269,16730.7492230595,16706.0572141962,16748.732955819,16794.7290800687
"Gene148",6669.09658502605,6694.78619853687,6811.68134789503,6870.41408304115,6751.43143537744,6611.99242691124,6691.32969699904,6578.66711921872,6703.87630861333,6646.1236052634
"Gene149",4187.2578616671,4005.16322058068,3906.82999464013,3917.1027129446,3946.74707773164,4004.05618674778,4035.16765491897,4101.97216236326,4079.19108145407,4083.70180460291
"Gene150",12781.9522732993,12988.3421421778,12792.5184595264,12863.8648721395,12849.6900845706,12775.4862647498,12968.7960447756,12805.7366245206,12782.5803943656,12982.2632451609
"Gene151",14655.4025158348,15000.680834586,14967.6101474184,14906.6394360499,15087.3017051201,14898.5377869211,14789.1481198713,15289.3256522372,14904.9362800932,14793.3108689019
"Gene152",8710.57793178903,8572.42956219591,8611.6960753393,8516.67389028431,8472.44276139933,8483.50505785657,8492.2819275999,8507.28344261557,8536.13844148193,8312.2874191051
"Gene153",14479.645843597,14734.6218636645,14735.292975699,14754.9797772954,14651.8531809972,14680.2210134042,14952.4301443692,15010.115782362,14600.4243486627,15152.1510027222
"Gene154",8351.33901930283,8402.51354677733,8433.46801611945,8338.38696319891,8514.99795807497,8343.49756179684,8550.48146108431,8271.16151562239,8443.28537148135,8324.08028735272
"Gene155",17720.5216239832,17660.7945885759,17604.6760584624,17450.1224153137,17677.2307679144,17555.5162008456,17455.0100841988,17164.5129264604,17545.1931401097,17541.0491705963
"Gene156",6136.0323923046,6213.11951057162,6151.97151675289,6108.06381365324,6267.48978015909,6241.80311529568,6120.65093811026,6170.19342069768,6172.71061003858,6199.67930731795
"Gene157",9517.89978888167,9452.94672893081,9509.04331877458,9529.08894051929,9569.97097333624,9442.20045460456,9651.42263616436,9522.43537691471,9499.84949720224,9449.45685726804
"Gene158",2116.80563486492,2152.74548386053,2160.90437969542,2155.0721738278,2136.66673541189,2221.13586969336,2163.08266117051,2109.5856835011,2185.79587144223,2159.77958477761
"Gene159",7876.21658665979,7885.62617214268,7986.56780792639,7941.29335287232,8013.24249959705,7876.8059082644,7866.63694264251,7852.34671080967,7830.22441862037,7860.78903476782
"Gene160",17878.8957681976,17752.1779918263,17748.322553953,17943.8845867548,17640.6135056586,17626.7064530793,17529.3761547622,17660.8860284606,17726.2854629679,17886.4117407051
"Gene161",6358.1424726052,6562.47064591401,6504.88080814344,6513.84022887034,6448.59677996473,6551.08521111125,6424.58183519551,6613.1374735243,6444.92582146886,6536.61840010697
"Gene162",6549.35028086399,6433.96273509324,6519.95482310234,6510.9459605735,6471.35886190751,6300.33732268789,6741.44596194395,6578.66711921872,6427.62400718303,6455.75301783761
